Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
60000	-20.1875	-inf	64	0.946	0.0001	1.301555875937144
70000	-20.24	-inf	75	0.9369999999999999	0.0001	0.49676695267359416
80000	-20.28735632183908	-inf	87	0.9279999999999999	0.0001	0.5017686168352763
90000	-20.306122448979593	-inf	98	0.919	0.0001	0.4958742698033651
100000	-20.26	-20.26	109	0.91	0.0001	0.5057837684949239
110000	-20.28	-20.21	120	0.901	0.0001	0.5028662761052449
120000	-20.3	-20.21	131	0.892	0.0001	0.5129259347915649
130000	-20.27	-20.21	141	0.883	0.0001	0.5038159251213074
140000	-20.24	-20.21	152	0.874	0.0001	0.5056392272313436
150000	-20.26	-20.21	162	0.865	0.0001	0.5117918928464253
160000	-20.26	-20.21	173	0.856	0.0001	0.5101157029469808
170000	-20.2	-20.2	184	0.847	0.0001	0.5093621253967285
180000	-20.17	-20.17	195	0.838	0.0001	0.5164397795995076
190000	-20.26	-20.16	206	0.829	0.0001	0.515177579720815
200000	-20.23	-20.16	217	0.82	0.0001	0.5275075117746989
210000	-20.24	-20.16	227	0.8109999999999999	0.0001	0.5130545576413472
220000	-20.28	-20.16	239	0.802	0.0001	0.518825368086497
230000	-20.29	-20.16	249	0.7929999999999999	0.0001	0.5216615478197734
240000	-20.25	-20.16	259	0.784	0.0001	0.5217896342277527
250000	-20.25	-20.16	270	0.775	0.0001	0.5226796229680379
260000	-20.24	-20.16	281	0.766	0.0001	0.5237908045450846
270000	-20.21	-20.16	291	0.757	0.0001	0.5250260631243387
280000	-20.2	-20.16	301	0.748	0.0001	0.5283857146898906
290000	-20.1	-20.1	311	0.739	0.0001	0.5256310105323792
300000	-20.06	-20.04	322	0.73	0.0001	0.5297062397003174
310000	-19.98	-19.98	333	0.721	0.0001	0.5320251107215881
320000	-20.01	-19.96	343	0.712	0.0001	0.5471548159917196
330000	-19.89	-19.89	353	0.703	0.0001	0.5430517792701721
340000	-19.92	-19.88	363	0.694	0.0001	0.5341883738835652
350000	-19.82	-19.82	373	0.685	0.0001	0.5350805640220642
360000	-19.82	-19.82	382	0.6759999999999999	0.0001	0.5388580123583476
370000	-19.78	-19.75	392	0.667	0.0001	0.5414578954378764
380000	-19.7	-19.68	402	0.6579999999999999	0.0001	0.545266310373942
390000	-19.64	-19.64	410	0.649	0.0001	0.544531504313151
400000	-19.62	-19.62	420	0.6399999999999999	0.0001	0.545197860399882
410000	-19.65	-19.61	430	0.631	0.0001	0.5408819595972697
420000	-19.67	-19.61	439	0.622	0.0001	0.5446768800417582
430000	-19.59	-19.59	449	0.613	0.0001	0.5528080860773722
440000	-19.58	-19.57	458	0.604	0.0001	0.5573437213897705
450000	-19.52	-19.52	466	0.595	0.0001	0.5525997757911683
